,date,open,high,low,close,volume,marketcap
935,2016-09-06,3.98,3.99,3.95,3.97,1699160,188465757
936,2016-09-05,4.02,4.03,3.97,3.98,4245990,188734889
937,2016-09-04,3.89,4.04,3.88,4.01,4834060,190349808
938,2016-09-03,3.83,3.91,3.81,3.89,2484220,184333475
939,2016-09-02,3.84,3.84,3.81,3.82,1984050,181233098
940,2016-09-01,3.8,3.85,3.79,3.83,2241890,181532485
941,2016-08-31,3.81,3.81,3.78,3.8,1678550,179838040
942,2016-08-30,3.77,3.82,3.75,3.8,2315030,180094202
943,2016-08-29,3.74,3.79,3.74,3.76,2610000,177935748
944,2016-08-28,3.74,3.76,3.73,3.74,2380150,176944556
945,2016-08-27,3.82,3.83,3.73,3.74,6505780,176747462
946,2016-08-26,3.8,3.85,3.79,3.83,2392690,180931925
947,2016-08-25,3.86,3.87,3.78,3.8,3206370,179729188
948,2016-08-24,3.93,3.95,3.84,3.86,4425210,182180234
949,2016-08-23,3.66,4.01,3.66,3.93,12154100,185700968
950,2016-08-22,3.62,3.66,3.6,3.66,2685030,172727377
951,2016-08-21,3.62,3.63,3.6,3.62,1321380,170678858
952,2016-08-20,3.61,3.63,3.6,3.62,1642330,170646855
953,2016-08-19,3.61,3.62,3.6,3.6,1433570,170051073
954,2016-08-18,3.6,3.64,3.6,3.61,1645410,170136593
955,2016-08-17,3.65,3.65,3.59,3.6,1830120,169725129
956,2016-08-16,3.59,3.65,3.58,3.64,2302180,171483591
957,2016-08-15,3.65,3.68,3.57,3.58,3314040,168576528
958,2016-08-14,3.72,3.72,3.61,3.65,2655030,171973546
959,2016-08-13,3.71,3.75,3.68,3.71,2473190,174946591
960,2016-08-12,3.74,3.75,3.69,3.71,2025430,174651700
961,2016-08-11,3.72,3.75,3.64,3.74,2374230,176141058
962,2016-08-10,3.76,3.81,3.72,3.72,1656370,175156255
963,2016-08-09,3.78,3.78,3.74,3.76,1878160,176860442
964,2016-08-08,3.77,3.8,3.75,3.79,1379300,178015043
965,2016-08-07,3.76,3.81,3.75,3.78,1335400,177717112
966,2016-08-06,3.72,3.77,3.7,3.76,1371060,176719452
967,2016-08-05,3.74,3.74,3.7,3.73,1162030,175202901
968,2016-08-04,3.71,3.75,3.71,3.75,1593350,176057497
969,2016-08-03,3.64,3.74,3.59,3.72,2875880,174629766
970,2016-08-02,3.87,3.89,3.52,3.64,5039290,170835349
971,2016-08-01,4.06,4.06,3.86,3.86,1991690,181284625
972,2016-07-31,4.08,4.08,3.97,4.01,1921460,188282594
973,2016-07-30,4.08,4.09,4.06,4.06,1388580,190468950
974,2016-07-29,3.97,4.1,3.96,4.08,1744370,191144492
975,2016-07-28,3.97,3.99,3.96,3.97,1728410,185939721
976,2016-07-27,3.96,3.99,3.93,3.96,1847300,185328222
977,2016-07-26,4.04,4.05,3.93,3.97,2545920,185941344
978,2016-07-25,4.07,4.08,4.03,4.03,1535980,188779324
979,2016-07-24,4.06,4.08,4.04,4.07,1839420,190529253
980,2016-07-23,4.04,4.06,4.03,4.06,1568890,189829177
981,2016-07-22,4.13,4.14,4.03,4.04,2677970,188900219
982,2016-07-21,4.13,4.14,4.11,4.12,1422410,192676805
983,2016-07-20,4.15,4.16,4.11,4.13,1908710,192847707
984,2016-07-19,4.15,4.17,4.14,4.15,1563330,193918894
985,2016-07-18,4.2,4.2,4.14,4.15,1577810,193816056
986,2016-07-17,4.14,4.21,4.13,4.19,2155230,195701086
987,2016-07-16,4.15,4.16,4.11,4.13,1378140,192963678
988,2016-07-15,4.15,4.18,4.15,4.16,1668020,194164042
989,2016-07-14,4.14,4.18,4.12,4.15,1663660,193579192
990,2016-07-13,4.16,4.18,4.13,4.14,2215370,193052822
991,2016-07-12,4.09,4.21,4.09,4.15,2734250,193673590
992,2016-07-11,4.12,4.19,4.06,4.09,3282920,190439126
993,2016-07-10,4.12,4.15,4.06,4.1,3039620,191042871
994,2016-07-09,4.24,4.24,3.97,4.16,6256370,193929348
995,2016-07-08,4.12,4.23,4.08,4.22,5033530,196522598
996,2016-07-07,4.5,4.53,3.95,4.11,6277860,191449459
997,2016-07-06,4.46,4.51,4.42,4.47,3238960,207987170
998,2016-07-05,4.56,4.56,4.36,4.45,4707390,207183863
999,2016-07-04,4.27,4.54,4.21,4.54,5062640,211223465
1000,2016-07-03,4.66,4.66,4.19,4.25,7659710,197792783
1001,2016-07-02,4.28,4.61,4.24,4.59,16646200,213377827
1002,2016-07-01,4.19,4.33,4.18,4.26,6987180,197787393
1003,2016-06-30,4.08,4.21,4.04,4.19,2864910,194823947
1004,2016-06-29,4.1,4.1,4.03,4.06,2211450,188651394
1005,2016-06-28,4.14,4.18,4.07,4.1,2867420,190391816
1006,2016-06-27,4.05,4.16,4.03,4.12,2749620,191220280
1007,2016-06-26,4.24,4.24,3.97,4.07,4480920,189041381
1008,2016-06-25,4.27,4.44,3.92,4.23,6057000,196352028
1009,2016-06-24,3.85,4.33,3.85,4.28,9364750,198430109
1010,2016-06-23,3.92,3.95,3.47,3.85,11138900,178501562
1011,2016-06-22,4.83,4.92,3.88,3.91,11522400,181241689
1012,2016-06-21,5.27,5.29,4.7,4.82,11984800,223395058
1013,2016-06-20,5.63,5.63,5.27,5.29,4154880,245221788
1014,2016-06-19,5.56,5.63,5.51,5.59,3760240,259003907
1015,2016-06-18,5.6,5.69,5.49,5.56,7878070,257349381
1016,2016-06-17,5.67,5.95,5.28,5.59,12383200,258801588
1017,2016-06-16,5.25,5.66,5.25,5.66,9930590,261843669
1018,2016-06-15,5.22,5.24,5.11,5.24,3917000,242293066
1019,2016-06-14,5.31,5.31,5.1,5.2,8488220,240563636
1020,2016-06-13,5.41,5.54,5.16,5.29,8668280,244477993
1021,2016-06-12,5.07,5.46,5.05,5.33,13753200,246401135
1022,2016-06-11,4.88,5.01,4.84,5.01,10294700,231560017
1023,2016-06-10,4.75,4.85,4.71,4.84,6975970,223452157
1024,2016-06-09,4.78,4.78,4.67,4.69,6438540,216606383
1025,2016-06-08,4.77,4.79,4.69,4.75,3507640,219076889
1026,2016-06-07,4.95,4.98,4.72,4.77,3881380,220048178
1027,2016-06-06,4.81,4.97,4.81,4.96,2993510,228662162
1028,2016-06-05,4.8,4.84,4.79,4.81,2257820,221840383
1029,2016-06-04,4.86,4.9,4.77,4.81,3214800,221548599
1030,2016-06-03,4.72,4.87,4.71,4.86,4061990,223913540
1031,2016-06-02,4.74,4.76,4.68,4.72,2121360,217123932
1032,2016-06-01,4.65,4.77,4.62,4.74,4577160,218259777
1033,2016-05-31,4.69,4.75,4.6,4.65,5187600,214037925
1034,2016-05-30,4.63,4.7,4.59,4.67,3805050,214927636
1035,2016-05-29,4.69,4.86,4.58,4.61,7351420,212056239
1036,2016-05-28,4.51,4.83,4.51,4.7,11564700,216179930
1037,2016-05-27,4.09,4.68,4.09,4.5,10821100,206943475
1038,2016-05-26,4.05,4.1,4.03,4.08,2530850,187628591
1039,2016-05-25,3.95,4.05,3.95,4.05,2765530,185880078
1040,2016-05-24,3.96,3.98,3.94,3.95,1742000,181491032
1041,2016-05-23,3.92,3.97,3.9,3.97,1868020,182201135
1042,2016-05-22,3.96,3.99,3.9,3.93,1849720,180377459
1043,2016-05-21,3.88,3.97,3.88,3.95,1938010,181461170
1044,2016-05-20,3.82,3.92,3.82,3.88,3638250,178034546
1045,2016-05-19,4.0,4.03,3.83,3.83,3380010,175796778
1046,2016-05-18,3.98,4.04,3.98,4.0,2377740,183530328
1047,2016-05-17,4.0,4.03,3.97,3.98,2663640,182548346
1048,2016-05-16,4.06,4.16,3.98,4.01,3632510,183559577
1049,2016-05-15,4.01,4.1,3.97,4.06,2096570,186088260
1050,2016-05-14,3.93,4.05,3.92,4.01,2444920,183599238
1051,2016-05-13,3.86,3.96,3.83,3.93,2624100,179678967
1052,2016-05-12,3.88,3.9,3.8,3.86,1798920,176471070
